Group,Model,AUC,Accuracy,ePCP,Sensitivity (TPR),Specificity (TNR),F1,Brier,BSS
0–<40,Logical (M+C),0.7235872235872236,0.9674267100977199,0.9681491856677524,0.18181818181818182,0.9966216216216216,0.28571428571428575,0.031149048013029316,0.09835177328624078
0–<40,RF (M+C),0.9121621621621622,0.9706840390879479,0.9630808365848462,0.5454545454545454,0.9864864864864865,0.5714285714285713,0.021452381539865242,0.37903393496598303
0–<40,RF (Full),0.9262899262899263,0.9771986970684039,0.9682605863192182,0.6363636363636364,0.9898648648648649,0.6666666666666666,0.016858265472312704,0.5120163812960687
40–<65,Logical (M+C),0.9361111111111111,0.9215686274509803,0.9249058823529411,0.9305555555555556,0.9,0.943661971830986,0.07222146901960784,0.6521332575555556
40–<65,RF (M+C),0.9703703703703703,0.9215686274509803,0.8651958610324422,0.9444444444444444,0.8666666666666667,0.9444444444444444,0.06349518912705263,0.6941648390380298
40–<65,RF (Full),0.9768518518518519,0.9411764705882353,0.9050212418300654,0.9583333333333334,0.9,0.9583333333333334,0.04767280255991285,0.7703760010030865
65–100,Logical (M+C),0.7317073170731707,0.9148936170212766,0.9147446808510639,0.975609756097561,0.5,0.9523809523809524,0.08510742553191489,0.2357629959349592
65–100,RF (M+C),0.8373983739837398,0.8723404255319149,0.8331172945965751,1,0,0.9318181818181819,0.09645857971186542,0.13383332283125704
65–100,RF (Full),0.9227642276422764,0.851063829787234,0.8494255319148936,0.9512195121951219,0.16666666666666666,0.9176470588235294,0.0899576182033097,0.19220984304426347
